block_id,schedule_number,service_id
block_543,102/01,service_2
block_544,102/02,service_2
block_545,102/03,service_2
block_546,104/01,service_2
block_547,104/02,service_2
block_548,105/01,service_2
block_549,105/02,service_2
block_550,107/01,service_2
block_551,107/02,service_2
block_552,111/01,service_2
block_553,112/01,service_2
block_554,112/02,service_2
block_555,120/01,service_2
block_556,120/02,service_2
block_557,120/03,service_2
block_558,121/01,service_2
block_559,122/01,service_2
block_560,122/02,service_2
block_561,123/01,service_2
block_562,123/02,service_2
block_563,123/03,service_2
block_564,124/01,service_2
block_565,124/02,service_2
block_566,124/03,service_2
block_567,125/01,service_2
block_568,125/02,service_2
block_569,125/03,service_2
block_570,125/04,service_2
block_571,125/05,service_2
block_572,128/01,service_2
block_573,128/02,service_2
block_574,128/03,service_2
block_575,128/04,service_2
block_576,130/01,service_2
block_577,130/02,service_2
block_578,130/03,service_2
block_579,130/04,service_2
block_580,133/01,service_2
block_581,133/02,service_2
block_582,133/03,service_2
block_583,134/01,service_2
block_584,134/02,service_2
block_585,135/01,service_2
block_586,135/02,service_2
block_587,138/01,service_2
block_588,138/02,service_2
block_589,138/03,service_2
block_590,138/04,service_2
block_591,138/05,service_2
block_592,138/06,service_2
block_593,139/01,service_2
block_594,139/02,service_2
block_595,139/03,service_2
block_596,139/04,service_2
block_597,139/05,service_2
block_598,139/06,service_2
block_599,140/01,service_2
block_600,144/01,service_2
block_601,144/02,service_2
block_602,144/03,service_2
block_603,144/04,service_2
block_604,144/05,service_2
block_605,144/06,service_2
block_606,144/07,service_2
block_607,148/01,service_2
block_608,148/02,service_2
block_609,148/03,service_2
block_610,151/01,service_2
block_611,151/02,service_2
block_612,153/01,service_2
block_613,153/02,service_2
block_614,155/01,service_2
block_615,155/02,service_2
block_616,155/03,service_2
block_617,158/01,service_2
block_618,158/02,service_2
block_619,160/01,service_2
block_620,161/01,service_2
block_621,162/01,service_2
block_622,164/01,service_2
block_623,164/02,service_2
block_624,164/03,service_2
block_625,164/04,service_2
block_626,164/05,service_2
block_627,164/06,service_2
block_628,168/01,service_2
block_629,168/02,service_2
block_630,169/01,service_2
block_631,169/02,service_2
block_632,169/03,service_2
block_633,169/04,service_2
block_634,169/05,service_2
block_635,169/06,service_2
block_636,169/07,service_2
block_637,169/08,service_2
block_638,171/01,service_2
block_639,172/01,service_2
block_640,172/02,service_2
block_641,172/03,service_2
block_642,172/04,service_2
block_643,172/05,service_2
block_644,172/06,service_2
block_645,173/01,service_2
block_646,173/02,service_2
block_647,173/03,service_2
block_648,173/04,service_2
block_649,173/05,service_2
block_650,173/06,service_2
block_651,174/01,service_2
block_652,174/02,service_2
block_653,174/03,service_2
block_654,174/04,service_2
block_655,175/01,service_2
block_656,175/02,service_2
block_657,176/01,service_2
block_658,179/01,service_2
block_659,179/02,service_2
block_660,179/03,service_2
block_661,179/04,service_2
block_662,179/05,service_2
block_663,180/01,service_2
block_664,182/01,service_2
block_665,182/02,service_2
block_666,182/03,service_2
block_667,182/04,service_2
block_668,182/05,service_2
block_669,191/01,service_2
block_670,192/01,service_2
block_671,192/02,service_2
block_672,192/03,service_2
block_673,192/04,service_2
block_674,192/05,service_2
block_675,194/01,service_2
block_676,194/02,service_2
block_677,194/03,service_2
block_678,194/04,service_2
block_679,194/05,service_2
block_680,194/06,service_2
block_681,195/01,service_2
block_682,195/02,service_2
block_683,195/03,service_2
block_684,198/01,service_2
block_685,199/01,service_2
block_686,199/02,service_2
block_687,199/03,service_2
block_688,199/04,service_2
block_689,199/05,service_2
block_690,199/06,service_2
block_691,203/01,service_2
block_692,203/02,service_2
block_693,204/01,service_2
block_694,204/02,service_2
block_695,204/03,service_2
block_696,204/04,service_2
block_697,207/01,service_2
block_698,207/02,service_2
block_699,209/01,service_2
block_700,210/01,service_2
block_701,211/01,service_2
block_702,211/02,service_2
block_703,212/01,service_2
block_704,213/01,service_2
block_705,214/01,service_2
block_706,215/01,service_2
block_707,218/01,service_2
block_708,218/02,service_2
block_709,219/01,service_2
block_710,220/01,service_2
block_711,221/01,service_2
block_712,222/01,service_2
block_713,224/01,service_2
block_714,225/01,service_2
block_715,227/01,service_2
block_716,228/01,service_2
block_717,229/01,service_2
block_718,229/02,service_2
block_719,230/01,service_2
block_720,233/01,service_2
block_721,233/02,service_2
block_722,234/01,service_2
block_723,235/01,service_2
block_724,238/01,service_2
block_725,238/02,service_2
block_726,239/01,service_2
block_727,240/01,service_2
block_728,243/01,service_2
block_729,244/01,service_2
block_730,244/02,service_2
block_731,245/01,service_2
block_732,247/01,service_2
block_733,248/01,service_2
block_734,248/02,service_2
block_735,249/01,service_2
block_736,249/02,service_2
block_737,253/01,service_2
block_738,254/01,service_2
block_739,255/01,service_2
block_740,257/01,service_2
block_741,258/01,service_2
block_742,259/01,service_2
block_743,260/01,service_2
block_744,262/01,service_2
block_745,263/01,service_2
block_746,264/01,service_2
block_747,265/01,service_2
block_748,267/01,service_2
block_749,267/02,service_2
block_750,268/01,service_2
block_751,268/02,service_2
block_752,269/01,service_2
block_753,269/02,service_2
block_754,270/01,service_2
block_755,272/01,service_2
block_756,273/01,service_2
block_757,274/01,service_2
block_758,275/01,service_2
block_759,278/01,service_2
block_760,278/02,service_2
block_761,278/03,service_2
block_762,280/01,service_2
block_763,283/01,service_2
block_764,283/02,service_2
block_765,284/01,service_2
block_766,285/01,service_2
block_767,288/01,service_2
block_768,288/02,service_2
block_769,290/01,service_2
block_770,293/01,service_2
block_771,293/02,service_2
block_772,295/01,service_2
block_773,297/01,service_2
block_774,298/01,service_2
block_775,300/01,service_2
block_776,300/02,service_2
block_777,300/03,service_2
block_778,300/04,service_2
block_779,301/01,service_2
block_780,301/02,service_2
block_781,301/03,service_2
block_782,304/01,service_2
block_783,304/02,service_2
block_784,304/03,service_2
block_785,304/04,service_2
block_786,304/05,service_2
block_787,304/06,service_2
block_788,304/07,service_2
block_789,307/01,service_2
block_790,307/02,service_2
block_791,307/03,service_2
block_792,310/01,service_2
block_793,310/02,service_2
block_794,317/01,service_2
block_795,317/02,service_2
block_796,337/01,service_2
block_797,337/02,service_2
block_798,337/03,service_2
block_799,405/01,service_2
block_800,405/02,service_2
block_801,424/01,service_2
block_802,424/02,service_2
block_803,502/01,service_2
block_804,502/02,service_2
block_805,502/03,service_2
block_806,502/04,service_2
block_807,502/05,service_2
block_808,503/01,service_2
block_809,503/02,service_2
block_810,503/03,service_2
block_811,503/04,service_2
block_812,503/05,service_2
block_813,503/06,service_2
block_814,513/01,service_2
block_815,513/02,service_2
block_816,513/03,service_2
block_817,513/04,service_2
block_818,513/05,service_2
block_819,601/01,service_2
block_820,601/02,service_2
block_821,601/03,service_2
block_822,601/04,service_2
block_823,605/01,service_2
block_824,605/02,service_2
block_825,608/01,service_2
block_826,608/02,service_2
block_827,608/03,service_2
block_828,608/04,service_2
block_829,609/01,service_2
block_830,610/01,service_2
block_831,610/02,service_2
block_832,610/03,service_2
block_833,611/01,service_2
block_834,611/02,service_2
block_835,701/01,service_2
block_836,701/02,service_2
block_837,701/03,service_2
block_838,704/01,service_2
block_839,704/02,service_2
block_840,902/01,service_2
block_841,902/02,service_2
block_842,903/01,service_2
block_843,904/01,service_2
