block_id,service_id,schedule_number
block_609,service_2,1/01
block_610,service_2,1/02
block_611,service_2,1/03
block_612,service_2,1/04
block_613,service_2,1/05
block_614,service_2,1/06
block_700,service_2,22/01
block_701,service_2,22/02
block_702,service_2,22/03
block_703,service_2,22/04
block_704,service_2,22/05
block_705,service_2,22/06
block_706,service_2,22/07
block_707,service_2,22/08
block_741,service_2,62/01
block_742,service_2,62/02
block_743,service_2,62/03
block_744,service_2,62/04
block_745,service_2,62/05
block_746,service_2,64/01
block_747,service_2,64/02
block_748,service_2,64/03
block_749,service_2,64/04
block_750,service_2,64/05
block_618,service_2,3/01
block_619,service_2,3/02
block_620,service_2,3/03
block_621,service_2,3/04
block_622,service_2,3/05
block_623,service_2,3/06
block_751,service_2,69/01
block_752,service_2,69/02
block_753,service_2,69/03
block_754,service_2,69/04
block_755,service_2,69/05
block_647,service_2,9/01
block_648,service_2,9/02
block_649,service_2,9/03
block_650,service_2,9/04
block_651,service_2,9/05
block_652,service_2,9/06
block_661,service_2,11/01
block_662,service_2,11/02
block_663,service_2,11/03
block_664,service_2,11/04
block_665,service_2,11/05
block_708,service_2,24/01
block_709,service_2,24/02
block_710,service_2,24/03
block_711,service_2,24/04
block_712,service_2,24/05
block_713,service_2,24/06
block_714,service_2,50/01
block_715,service_2,50/02
block_716,service_2,50/03
block_717,service_2,50/04
block_718,service_2,50/05
block_719,service_2,50/06
block_720,service_2,50/07
block_721,service_2,50/08
block_722,service_2,50/09
block_723,service_2,50/10
block_724,service_2,50/11
block_725,service_2,50/12
block_726,service_2,50/13
block_684,service_2,18/01
block_685,service_2,18/02
block_686,service_2,18/03
block_687,service_2,18/04
block_688,service_2,18/05
block_689,service_2,18/06
block_690,service_2,18/07
block_696,service_2,21/01
block_697,service_2,21/02
block_698,service_2,21/03
block_699,service_2,21/04
block_727,service_2,52/01
block_728,service_2,52/02
block_729,service_2,52/03
block_730,service_2,52/04
block_731,service_2,52/05
block_732,service_2,52/06
block_733,service_2,52/07
block_734,service_2,52/08
block_735,service_2,52/09
block_736,service_2,52/10
block_737,service_2,52/11
block_738,service_2,52/12
block_739,service_2,52/13
block_740,service_2,52/14
block_624,service_2,4/01
block_625,service_2,4/02
block_626,service_2,4/03
block_627,service_2,4/04
block_628,service_2,4/05
block_629,service_2,4/06
block_630,service_2,4/07
block_641,service_2,8/01
block_642,service_2,8/02
block_643,service_2,8/03
block_644,service_2,8/04
block_645,service_2,8/05
block_646,service_2,8/06
block_666,service_2,13/01
block_667,service_2,13/02
block_668,service_2,13/03
block_669,service_2,13/04
block_670,service_2,13/05
block_671,service_2,13/06
block_691,service_2,20/01
block_692,service_2,20/02
block_693,service_2,20/03
block_694,service_2,20/04
block_695,service_2,20/05
block_631,service_2,5/01
block_632,service_2,5/02
block_633,service_2,5/03
block_634,service_2,5/04
block_635,service_2,5/05
block_672,service_2,14/01
block_673,service_2,14/02
block_674,service_2,14/03
block_675,service_2,14/04
block_676,service_2,14/05
block_677,service_2,14/06
block_678,service_2,14/07
block_615,service_2,2/01
block_616,service_2,2/02
block_617,service_2,2/03
block_636,service_2,6/01
block_637,service_2,6/02
block_638,service_2,6/03
block_639,service_2,6/04
block_640,service_2,6/05
block_653,service_2,10/01
block_654,service_2,10/02
block_655,service_2,10/03
block_656,service_2,10/04
block_657,service_2,10/05
block_658,service_2,10/06
block_659,service_2,10/07
block_660,service_2,10/08
